Connected On,Company Employee Range,Location,Person_ID,Company_Anon,Industry_Anon,Function
16 Oct 2017,,Saint Petersburg Metropolitan Area,Person_275,Company_433,Industry_16,Communications
15 Oct 2017,,"Carrington, New South Wales, Australia",Person_276,Company_299,Industry_06,IT/Data/Digital
10 Oct 2017,10001+,"Munich, Bavaria, Germany",Person_277,Company_078,Industry_15,Sales/Business Development
26 Sep 2017,10001+,"Norwood, Massachusetts, United States",Person_278,Company_029,Industry_12,Engineering/Technical/Science
24 Sep 2017,,"Gordon, New South Wales, Australia",Person_279,Freelance,Industry_01,Freelance
23 Sep 2017,51 to 200,"Moscow, Moscow City, Russia",Person_280,Company_146,Industry_16,Management
23 Sep 2017,1001 to 5000,"Beijing, China",Person_281,Company_039,Focus_Industry_1,Procurement/Supply Chain
22 Sep 2017,501 to 1000,"Moscow, Moscow City, Russia",Person_282,Company_422,Industry_12,IT/Data/Digital
09 Aug 2017,5001 to 10000,"The Rocks, New South Wales, Australia",Person_283,Company_198,Industry_05,Other
12 Jul 2017,10001+,"Baar, Zug, Switzerland",Person_284,Company_115,Focus_Industry_4,Legal/Compliance
07 Jul 2017,,"St Petersburg, St Petersburg City, Russia",Person_285,Freelance,Industry_01,Freelance
25 Jun 2017,,"Beijing, China",Person_286,Company_028,Industry_13,Legal/Compliance
16 Jun 2017,5001 to 10000,Poland,Person_287,Company_157,Industry_05,Other
05 Jun 2017,201 to 500,"Hamburg, Hamburg, Germany",Person_288,Company_076,Focus_Industry_3,Other
04 Jun 2017,,"Ashdod, South District, Israel",Person_289,Company_178,Industry_11,Management
29 May 2017,,"Moscow, Moscow City, Russia",Person_290,Company_019,Industry_05,Management
18 May 2017,10001+,"Toronto, Ontario, Canada",Person_291,Company_230,Industry_05,Other
16 May 2017,10001+,"Moscow, Moscow City, Russia",Person_292,Company_262,Industry_12,Management
18 Apr 2017,1001 to 5000,"Boston, Massachusetts, United States",Person_293,Company_316,Industry_01,Other
14 Apr 2017,1001 to 5000,"Paris, Île-de-France, France",Person_294,Company_132,Industry_12,Management
09 Apr 2017,501 to 1000,"London, England, United Kingdom",Person_295,Company_291,Industry_15,Sales/Business Development
03 Apr 2017,1001 to 5000,"Mexico City, Mexico",Person_296,Company_219,Focus_Industry_1,Management
23 Mar 2017,,Greater Barcelona Metropolitan Area,Person_297,Company_322,Industry_15,Procurement/Supply Chain
23 Mar 2017,51 to 200,France,Person_298,Company_242,Industry_04,Management
19 Mar 2017,,"Araucanía Region, Chile",Person_299,Company_236,Industry_16,Other
19 Mar 2017,,Uzbekistan,Person_300,Company_113,Focus_Industry_1,Communications
09 Mar 2017,10001+,Nashville Metropolitan Area,Person_301,Company_054,Industry_12,Freelance
07 Mar 2017,10001+,United Arab Emirates,Person_302,Company_155,Focus_Industry_1,HR/People/Talent
03 Mar 2017,,Estonia,Person_303,Company_105,Industry_04,Management
01 Mar 2017,51 to 200,Ukraine,Person_304,Company_280,Industry_16,Communications
16 Feb 2017,10001+,Kazakhstan,Person_305,Company_203,Industry_02,Other
15 Feb 2017,,Ukraine,Person_306,Company_184,Industry_07,Communications
17 Jun 2024,5001 to 10000,South Africa,Person_307,Company_094,Focus_Industry_2,Marketing
13 Feb 2017,5001 to 10000,Ukraine,Person_308,Company_400,Industry_06,Management
08 Feb 2017,501 to 1000,Saudi Arabia,Person_309,Company_333,Industry_04,Management
05 Feb 2017,11 to 50,Israel,Person_310,Company_032,Industry_01,Management
01 Feb 2017,1001 to 5000,"Moscow City, Russia",Person_311,Company_305,Industry_04,Legal/Compliance
22 Jan 2017,,"Baltimore City County, Maryland, United States",Person_312,Company_256,Industry_01,Other
21 Jan 2017,11 to 50,Israel,Person_313,Company_087,Industry_14,Management
12 Jan 2017,2 to 10,Greater Paris Metropolitan Region,Person_314,Company_412,Industry_09,Management
12 Jan 2017,,"Zurich, Switzerland",Person_315,Company_223,Industry_04,Management
11 Jan 2017,,Italy,Person_316,Company_207,Industry_08,Other
10 Jan 2017,10001+,"New York, New York, United States",Person_317,Company_017,Industry_12,Management
10 Jan 2017,,"Riyadh, Saudi Arabia",Person_318,Company_226,Industry_01,Management
10 Jan 2017,11 to 50,"Cirencester, England, United Kingdom",Person_319,Company_122,Industry_02,Management
10 Jan 2017,2 to 10,"Melbourne, Victoria, Australia",Person_320,Company_114,Industry_05,Management
05 Jan 2017,,Italy,Person_321,,,Unknown
29 Dec 2016,,"Catania, Sicily, Italy",Person_322,Company_179,Industry_10,Other
16 Dec 2016,,"Jerusalem District, Israel",Person_323,,Industry_13,Legal/Compliance
10 Dec 2016,,"Moscow, Moscow City, Russia",Person_324,Company_431,Focus_Industry_3,Other
04 Dec 2016,,"Paris, Île-de-France, France",Person_325,Company_376,Industry_15,Management
03 Nov 2016,,Russia,Person_326,Freelance,Industry_04,Freelance
02 Nov 2016,myself only,"Almaty, Almaty, Kazakhstan",Person_327,Freelance,Industry_05,Freelance
31 Oct 2016,,"Tbilisi, Georgia",Person_328,Company_405,Industry_06,Media Creation
26 Oct 2016,1001 to 5000,Cyprus,Person_329,Company_102,Industry_04,IT/Data/Digital
25 Oct 2016,,Russia,Person_330,Freelance,Industry_04,Freelance
21 Oct 2016,1001 to 5000,Greater Paris Metropolitan Region,Person_331,Company_039,Focus_Industry_1,Management
10 Oct 2016,10001+,Russia,Person_332,Company_182,Industry_04,Communications
06 Oct 2016,201 to 500,"Prague, Czechia",Person_333,Company_377,Industry_12,Management
25 Sep 2016,11 to 50,"Haifa District, Israel",Person_334,Company_246,Industry_04,Other
22 Sep 2016,,"Tbilisi, Georgia",Person_335,Company_053,Industry_06,Management
19 Sep 2016,,"Moscow, Moscow City, Russia",Person_336,Company_108,Industry_06,Communications
15 Sep 2016,10001+,"Paris, Île-de-France, France",Person_337,Company_165,Industry_12,Other
11 Sep 2016,10001+,"San Jose, California, United States",Person_338,Company_215,Industry_12,Management
07 Sep 2016,,Russia,Person_339,Company_421,Industry_13,Management
07 Sep 2016,201 to 500,Kazakhstan,Person_340,Company_119,Industry_04,Communications
04 Sep 2016,11 to 50,"New York, New York, United States",Person_341,Company_266,Industry_12,Management
27 Aug 2016,,"Washington, District of Columbia, United States",Person_342,Company_015,Industry_12,Management
21 Aug 2016,,"Bashkortostan, Russia",Person_343,Company_164,Industry_06,Education/Training/Academia
08 Aug 2016,501 to 1000,"Moscow, Moscow City, Russia",Person_344,Company_254,Industry_06,IT/Data/Digital
03 Aug 2016,,Sweden,Person_345,Company_005,Industry_04,Management
20 Jul 2016,,Russia,Person_346,,,Unknown
20 Jul 2016,,Russia,Person_346,,,Unknown
12 Aug 2013,,Russia,Person_346,,,Unknown
12 Aug 2013,,Russia,Person_346,,,Unknown
19 Jul 2016,10001+,"Grenoble, Auvergne-Rhône-Alpes, France",Person_347,Company_334,Focus_Industry_4,Management
27 Jun 2016,10001+,"Paris, Île-de-France, France",Person_348,Company_356,Focus_Industry_4,Sales/Business Development
24 Jun 2016,,United Kingdom,Person_349,Company_112,Industry_01,Management
24 Jun 2016,,United Kingdom,Person_350,Company_095,Industry_05,Management
31 May 2016,,"Da Lat, Lam Dong, Vietnam",Person_351,Freelance,Industry_16,Freelance
16 May 2016,501 to 1000,"Doha, Qatar",Person_352,Company_327,Focus_Industry_1,Other
03 May 2016,,Kazakhstan,Person_353,Company_253,Focus_Industry_1,Management
29 Apr 2016,1001 to 5000,"Moscow, Moscow City, Russia",Person_354,Company_425,Industry_10,Consultant/Advisor/Coach
29 Apr 2016,,"Laguna Beach, California, United States",Person_355,Company_366,Industry_11,Management
25 Apr 2016,10001+,"Moscow, Moscow City, Russia",Person_356,Company_158,Industry_08,IT/Data/Digital
25 Apr 2016,10001+,Greater Houston,Person_357,Company_075,Focus_Industry_1,IT/Data/Digital
20 Apr 2016,1001 to 5000,"Nancy, Grand Est, France",Person_358,Company_035,Industry_12,Marketing
30 Mar 2016,1001 to 5000,"Stuttgart, Baden-Württemberg, Germany",Person_359,Company_098,Industry_06,Management
22 Mar 2016,2 to 10,Berlin Metropolitan Area,Person_360,Company_166,Industry_04,Management
03 Mar 2016,5001 to 10000,"City of Johannesburg, Gauteng, South Africa",Person_361,Company_157,Industry_05,Finance/Accounting
02 Mar 2016,10001+,"Dubai, United Arab Emirates",Person_362,Company_155,Focus_Industry_1,Other
17 Jun 2024,201 to 500,"Bridgeport, West Virginia, United States",Person_363,Company_031,Focus_Industry_1,Management
09 Feb 2016,10001+,"Gurgaon, Haryana, India",Person_364,Company_230,Industry_05,IT/Data/Digital
12 Jan 2016,,Luxembourg,Person_365,Company_153,Industry_04,Management
19 Dec 2015,,"Tbilisi, Georgia",Person_366,Company_183,Industry_16,Engineering/Technical/Science
18 Dec 2015,10001+,Russia,Person_367,Company_063,Industry_01,Other
08 Dec 2015,,"Reston, Virginia, United States",Person_368,Company_059,Industry_05,IT/Data/Digital
06 Dec 2015,11 to 50,"Berlin, Berlin, Germany",Person_369,Company_404,Industry_06,Education/Training/Academia
06 Dec 2015,,"Moscow, Moscow City, Russia",Person_370,,Industry_10,Unknown
30 Nov 2015,10001+,"Denver, Colorado, United States",Person_371,Company_334,Focus_Industry_4,Management
29 Nov 2015,51 to 200,Russia,Person_372,Company_406,Industry_10,Management
10 Nov 2015,,Frankfurt Rhine-Main Metropolitan Area,Person_373,Company_127,Focus_Industry_2,Management
03 Nov 2015,11 to 50,"Houston, Texas, United States",Person_374,Company_396,Focus_Industry_4,Marketing
03 Nov 2015,1001 to 5000,"Spring, Texas, United States",Person_375,Company_352,Focus_Industry_1,Finance/Accounting
02 Nov 2015,5001 to 10000,"London, England, United Kingdom",Person_376,Company_365,Industry_01,Management
02 Nov 2015,1001 to 5000,"Kaluga, Russia",Person_377,Company_142,Industry_12,Consultant/Advisor/Coach
28 Oct 2015,,"Zhukovsky, Moscow, Russia",Person_378,Freelance,Industry_16,Freelance
23 Oct 2015,,Kazakhstan,Person_379,Company_106,Focus_Industry_1,Management
22 Oct 2015,11 to 50,"Marbella, Andalusia, Spain",Person_380,Freelance,Industry_06,Freelance
13 Oct 2015,,"Zarasai District Municipality, Utena, Lithuania",Person_381,Freelance,Industry_16,Freelance
10 Oct 2015,,"Kyiv, Kyiv City, Ukraine",Person_382,,Industry_12,Engineering/Technical/Science
09 Oct 2015,,Russia,Person_383,Freelance,Focus_Industry_3,Freelance
27 Sep 2015,,Ghana,Person_384,Company_414,Industry_04,Other
25 Sep 2015,myself only,France,Person_385,Company_411,Industry_10,Other
19 Sep 2015,1001 to 5000,"Houston, Texas, United States",Person_386,Company_033,Focus_Industry_1,Marketing
19 Sep 2015,201 to 500,"Port Washington, New York, United States",Person_387,Company_314,Industry_13,Management
16 Sep 2015,51 to 200,"Dubai, United Arab Emirates",Person_388,Company_130,Industry_04,Legal/Compliance
09 Sep 2015,10001+,"Warsaw, Mazowieckie, Poland",Person_389,Company_042,Industry_05,Management
27 Aug 2015,,"Moscow, Moscow City, Russia",Person_390,Company_423,Industry_01,Management
21 Aug 2015,1001 to 5000,"Shanghai, China",Person_391,Company_022,Industry_13,Communications
20 Aug 2015,,"Murmansk, Russia",Person_392,Company_363,Focus_Industry_1,Education/Training/Academia
18 Aug 2015,10001+,"New York, New York, United States",Person_393,Company_150,Industry_12,Marketing
29 Jul 2015,51 to 200,"Moscow, Moscow City, Russia",Person_394,Company_064,Industry_06,Management
19 Jul 2015,501 to 1000,"Melbourne, Victoria, Australia",Person_395,Company_284,Industry_05,Marketing
08 Jul 2015,,Russia,Person_396,Company_438,Industry_10,Communications
07 Jul 2015,1001 to 5000,"Tbilisi, Georgia",Person_397,Company_294,Industry_12,Engineering/Technical/Science
29 Jun 2015,,"Moscow, Moscow City, Russia",Person_398,Company_426,Industry_12,Management
08 Jun 2015,,Russia,Person_399,Company_420,Industry_07,Engineering/Technical/Science
14 May 2015,,Russia,Person_400,Company_313,Industry_08,Sales/Business Development
22 Apr 2015,,"Moscow, Moscow City, Russia",Person_401,Company_355,Industry_04,Management
13 Apr 2015,,"Moscow, Moscow City, Russia",Person_402,Company_170,Industry_04,Management
10 Apr 2015,10001+,"Doha, Qatar",Person_403,Company_303,Industry_05,Management
09 Apr 2015,11 to 50,United Kingdom,Person_404,Company_181,Industry_04,Management
08 Apr 2015,11 to 50,"Los Angeles County, California, United States",Person_405,Company_218,Industry_12,Management
06 Apr 2015,51 to 200,"Moscow, Moscow City, Russia",Person_406,Company_394,Industry_14,Finance/Accounting
24 Mar 2015,,"Palermo, Sicily, Italy",Person_407,Company_416,Industry_13,Other
24 Mar 2015,501 to 1000,United Arab Emirates,Person_408,Company_274,Focus_Industry_4,Marketing
16 Mar 2015,10001+,"Houston, Texas, United States",Person_409,Company_325,Industry_12,Engineering/Technical/Science
10 Mar 2015,,"Nanjing, Jiangsu, China",Person_410,Company_041,Industry_15,Other
10 Mar 2015,51 to 200,Russia,Person_411,Company_301,Industry_01,Marketing
09 Mar 2015,10001+,"Helsinki, Uusimaa, Finland",Person_412,Company_230,Industry_05,Management
06 Mar 2015,,"Messina, Sicily, Italy",Person_413,Company_140,Industry_07,IT/Data/Digital
06 Mar 2015,,"Oslo, Oslo, Norway",Person_414,,Industry_05,Marketing
05 Mar 2015,10001+,"Chaoyang District, Beijing, China",Person_415,Company_055,Industry_05,Management
20 Feb 2015,5001 to 10000,"Little Rock, Arkansas, United States",Person_416,Company_129,Industry_04,Management
02 Feb 2015,,"Moscow, Moscow City, Russia",Person_417,Company_045,Industry_04,Management
22 Jan 2015,10001+,Greater Madrid Metropolitan Area,Person_418,Company_230,Industry_05,Other
12 Jan 2015,11 to 50,"Moscow, Moscow City, Russia",Person_419,Company_436,Industry_05,Management
11 Jan 2015,201 to 500,Switzerland,Person_420,Company_168,Industry_12,Management
29 Dec 2014,,"Berlin, Berlin, Germany",Person_421,Company_310,Industry_01,Management
28 Dec 2014,,"Be'er Sheva, South District, Israel",Person_422,Company_200,Industry_12,Management
23 Dec 2014,51 to 200,Russia,Person_423,Company_301,Industry_01,Other
23 Dec 2014,10001+,"Moscow, Moscow City, Russia",Person_424,Company_251,Focus_Industry_1,Management
23 Dec 2014,myself only,"Lausanne, Vaud, Switzerland",Person_425,Company_056,Industry_01,Sales/Business Development
21 Dec 2014,,"San Jose, California, United States",Person_426,Company_237,Industry_12,Engineering/Technical/Science
05 Dec 2014,,"Moscow, Moscow City, Russia",Person_427,Company_428,Industry_06,HR/People/Talent
03 Dec 2014,,"London, England, United Kingdom",Person_428,Company_034,Industry_04,Consultant/Advisor/Coach
15 Nov 2014,1001 to 5000,"London, England, United Kingdom",Person_429,Company_185,Industry_01,Media Creation
15 Nov 2014,,"Moscow, Moscow City, Russia",Person_430,Freelance,Industry_01,Freelance
02 Nov 2014,,"Calgary, Alberta, Canada",Person_431,Company_293,Focus_Industry_1,Management
28 Oct 2014,,"Tomsk, Tomsk, Russia",Person_432,Company_288,Focus_Industry_1,Communications
28 Oct 2014,,"Woking, England, United Kingdom",Person_433,Freelance,Industry_16,Freelance
28 Oct 2014,,"Catania, Sicily, Italy",Person_434,,Industry_13,Other
27 Oct 2014,,"Moscow, Moscow City, Russia",Person_435,Company_208,Industry_13,Legal/Compliance
22 Oct 2014,,Russia,Person_436,,,Unknown
21 Oct 2014,,"Moscow, Moscow City, Russia",Person_437,Company_427,Industry_06,Education/Training/Academia
17 Oct 2014,501 to 1000,United Arab Emirates,Person_438,Company_151,Industry_10,Other
16 Oct 2014,,"Moscow, Moscow City, Russia",Person_439,Company_219,Focus_Industry_1,Marketing
25 Sep 2014,10001+,"Nanterre, Île-de-France, France",Person_440,Company_379,Industry_07,Management
23 Sep 2014,,Russia,Person_441,,,Unknown
21 Sep 2014,5001 to 10000,"Montreal, Quebec, Canada",Person_442,Company_062,Industry_01,Other
21 Sep 2014,,"Stockholm County, Sweden",Person_443,Company_068,Industry_01,Consultant/Advisor/Coach
18 Aug 2014,1001 to 5000,"Tel Aviv-Yafo, Tel Aviv District, Israel",Person_444,Company_133,Industry_14,Other
28 Jul 2014,,"Moscow, Moscow City, Russia",Person_445,Company_330,Industry_15,Sales/Business Development
10 Jul 2014,,"Marseille, Provence-Alpes-Côte d'Azur, France",Person_446,Freelance,Industry_12,Freelance
02 Jul 2014,10001+,"Moscow, Moscow City, Russia",Person_447,Company_121,Industry_03,Management
23 Jun 2014,,"Prague, Czechia",Person_448,Company_062,Industry_01,IT/Data/Digital
16 Jun 2014,,Russia,Person_449,,,Unknown
16 Jun 2014,,"Moscow, Moscow City, Russia",Person_450,Company_429,Industry_13,Legal/Compliance
16 Jun 2014,10001+,"Copenhagen, Capital Region of Denmark, Denmark",Person_451,Company_332,Focus_Industry_3,Other
22 May 2014,1001 to 5000,"Moscow, Moscow City, Russia",Person_452,Company_249,Industry_01,Other
06 May 2014,,"St.-Dié, Grand Est, France",Person_453,Freelance,Industry_02,Freelance
05 May 2014,10001+,Russia,Person_454,Company_115,Focus_Industry_4,Other
30 Apr 2014,,"Oakville, Ontario, Canada",Person_455,Company_239,Industry_04,Management
30 Apr 2014,,Russia,Person_456,Company_127,Focus_Industry_2,Engineering/Technical/Science
30 Apr 2014,,"Tomsk, Russia",Person_457,Company_219,Focus_Industry_1,Communications
28 Apr 2014,51 to 200,Greater Toulouse Metropolitan Area,Person_458,Company_354,Industry_04,Sales/Business Development
22 Apr 2014,,Russia,Person_459,,Focus_Industry_2,Unknown
21 Apr 2014,,San Francisco Bay Area,Person_460,Company_346,Industry_10,Management
14 Apr 2014,,"Moscow, Moscow City, Russia",Person_461,Company_437,Industry_07,Sales/Business Development
19 Mar 2014,201 to 500,"Almaty, Kazakhstan",Person_462,Company_020,Industry_08,Management
18 Mar 2014,,"Moscow, Moscow City, Russia",Person_463,Company_378,Industry_03,Management
19 Feb 2014,,"Moscow, Moscow City, Russia",Person_464,,Industry_01,Freelance
18 Feb 2014,,Russia,Person_465,Company_302,Industry_01,HR/People/Talent
18 Feb 2014,,"Bayern, Bavaria, Germany",Person_466,Company_388,Industry_08,Other
12 Feb 2014,10001+,"Münchenstein, Basel-Country, Switzerland",Person_467,Company_189,Focus_Industry_3,Other
28 Jan 2014,,Russia,Person_468,,Focus_Industry_1,Communications
27 Jan 2014,,Kazakhstan,Person_469,Company_111,Industry_13,Other
21 Jan 2014,,"Moscow, Moscow City, Russia",Person_470,Company_024,Industry_02,Engineering/Technical/Science
13 Jan 2014,,"St Petersburg, St Petersburg City, Russia",Person_471,Company_289,Industry_07,Management
11 Jan 2014,201 to 500,Russia,Person_472,Company_403,Industry_05,Management
09 Jan 2014,201 to 500,"Tashkent, Uzbekistan",Person_473,Company_260,Industry_04,Communications
08 Jan 2014,,"Moscow, Moscow City, Russia",Person_474,Freelance,Industry_01,Freelance
09 Dec 2013,,"Lexington, Massachusetts, United States",Person_475,Company_250,Industry_06,Communications
09 Dec 2013,51 to 200,"Calgary, Alberta, Canada",Person_476,Company_088,Industry_06,Management
01 Dec 2013,,"New York, New York, United States",Person_477,,Industry_12,Unknown
27 Nov 2013,,Russia,Person_478,Freelance,Industry_16,Freelance
11 Nov 2013,,"Sugar Land, Texas, United States",Person_479,Company_162,Industry_02,Management
05 Nov 2013,,"Moscow, Moscow City, Russia",Person_480,Company_169,Industry_16,Management
14 Jun 2024,10001+,Belgium,Person_481,Company_323,Industry_03,Consultant/Advisor/Coach
16 Oct 2013,1001 to 5000,"Nyack, New York, United States",Person_482,Company_358,Industry_01,Management
11 Oct 2013,,"Tatarstan, Russia",Person_483,Freelance,Industry_12,Freelance
07 Oct 2013,,"Moscow, Moscow City, Russia",Person_484,Company_424,Industry_01,Media Creation
07 Oct 2013,10001+,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Person_485,Company_325,Industry_12,Sales/Business Development
27 Sep 2013,,United Arab Emirates,Person_486,Company_100,Industry_05,Management
20 Sep 2013,501 to 1000,"Washington, District of Columbia, United States",Person_487,Company_277,Industry_01,IT/Data/Digital
20 Sep 2013,,Russia,Person_488,Company_318,,Marketing
19 Sep 2013,5001 to 10000,"Lexington, Massachusetts, United States",Person_489,Company_281,Industry_12,Engineering/Technical/Science
09 Sep 2013,,Russia,Person_490,,,Unknown
09 Sep 2013,,"Greater London, England, United Kingdom",Person_491,Freelance,Industry_01,Freelance
31 Aug 2013,2 to 10,United Arab Emirates,Person_492,Company_231,Industry_01,Management
29 Aug 2013,10001+,Greater Paris Metropolitan Region,Person_493,Company_356,Focus_Industry_4,Marketing
22 Aug 2013,,"Nizhniy Novgorod, Russia",Person_494,Freelance,Industry_16,Freelance
19 Aug 2013,2 to 10,"Moscow, Moscow City, Russia",Person_495,Company_265,Focus_Industry_1,HR/People/Talent
13 Aug 2013,,Israel,Person_496,Company_252,Industry_06,Other
12 Aug 2013,201 to 500,"Moscow, Moscow City, Russia",Person_497,Company_171,Industry_06,Management
12 Aug 2013,,New York City Metropolitan Area,Person_497,Company_171,Industry_06,Management
19 Apr 2011,201 to 500,"Moscow, Moscow City, Russia",Person_497,Company_171,Industry_06,Management
07 Jul 2016,,Russia,Person_498,Company_110,Focus_Industry_1,Management
11 Aug 2013,,"Brooklyn, New York, United States",Person_499,Company_290,Industry_01,Management
06 Aug 2013,10001+,Russia,Person_500,Company_258,Focus_Industry_2,Management
05 Aug 2013,10001+,Russia,Person_501,Company_115,Focus_Industry_4,Management
01 Aug 2013,,Greater Paris Metropolitan Region,Person_502,Company_220,Industry_05,Freelance
31 Jul 2013,10001+,"Austin, Texas, United States",Person_503,Company_037,Industry_12,Management
31 Jul 2013,11 to 50,United Arab Emirates,Person_504,Company_326,Industry_05,Other
06 Jul 2018,10001+,"Pontcharra, Auvergne-Rhône-Alpes, France",Person_505,Company_391,Industry_14,Sales/Business Development
12 Jul 2013,1001 to 5000,Kazakhstan,Person_506,Company_195,Focus_Industry_1,Communications
25 Jun 2013,10001+,"Center, Texas, United States",Person_507,Company_370,Industry_03,Finance/Accounting
29 May 2013,10001+,"Dubai, Dubai, United Arab Emirates",Person_508,Company_025,Industry_05,Consultant/Advisor/Coach
27 May 2013,11 to 50,"Miami, Florida, United States",Person_509,Company_402,Industry_06,Management
05 May 2013,10001+,Switzerland,Person_510,Company_145,Focus_Industry_2,Legal/Compliance
01 May 2013,10001+,"Houston, Texas, United States",Person_511,Company_413,Focus_Industry_1,Legal/Compliance
26 Apr 2013,,Fiji,Person_512,Company_263,Industry_10,Management
21 Apr 2013,1001 to 5000,"Dubai, United Arab Emirates",Person_513,Company_008,Industry_16,Marketing
05 Apr 2013,,"Kansas City, Kansas, United States",Person_514,Company_209,Industry_06,Other
04 Apr 2013,10001+,"Moscow, Moscow City, Russia",Person_515,Company_115,Focus_Industry_4,Management
31 Mar 2013,10001+,"Long Branch, New Jersey, United States",Person_516,Company_082,Industry_06,Other
29 Mar 2013,,"St Petersburg, St Petersburg City, Russia",Person_517,Company_397,Industry_06,Marketing
07 Mar 2013,,United States,Person_518,Company_013,Industry_05,Management
21 Jan 2013,10001+,Switzerland,Person_519,Company_374,Industry_06,Marketing
19 Jan 2013,,"Bashkortostan, Russia",Person_520,Freelance,Industry_16,Freelance
22 Nov 2012,,United Arab Emirates,Person_521,Company_410,Industry_08,Management
21 Nov 2012,,"Cleveland, Ohio, United States",Person_522,Company_080,Focus_Industry_2,Management
29 Oct 2012,10001+,Moscow Metropolitan Area,Person_523,Company_279,Industry_07,Other
14 Oct 2012,,"Moscow, Moscow City, Russia",Person_524,Freelance,Industry_16,Freelance
18 Aug 2012,1001 to 5000,Frankfurt Rhine-Main Metropolitan Area,Person_525,Company_399,Industry_12,IT/Data/Digital
22 May 2019,11 to 50,"Moscow, Moscow City, Russia",Person_526,Company_040,Industry_04,Marketing
18 Jul 2012,2 to 10,"Paris, Île-de-France, France",Person_527,Company_070,Industry_04,Management
06 Jul 2012,1001 to 5000,Kyrgyzstan,Person_528,Company_407,Focus_Industry_1,Other
05 Jul 2012,11 to 50,United Kingdom,Person_529,Company_434,Industry_06,Other
29 Jun 2012,,"Zelenogradsk, Kaliningrad, Russia",Person_530,Freelance,Focus_Industry_1,Freelance
11 Apr 2012,501 to 1000,"Moscow, Moscow City, Russia",Person_531,Company_380,Industry_12,Management
16 Jan 2012,,Russia,Person_532,Company_432,Industry_01,Communications
11 Jan 2012,,"Evanston, Illinois, United States",Person_533,Company_159,Industry_01,IT/Data/Digital
03 Dec 2011,,Ukraine,Person_534,Freelance,Industry_16,Freelance
18 Oct 2011,,Greater Paris Metropolitan Region,Person_535,Company_134,Industry_04,Management
25 Sep 2011,,"Bashkortostan, Russia",Person_536,Company_247,Industry_16,Freelance
23 Sep 2011,11 to 50,"Burpengary, Queensland, Australia",Person_537,Company_016,Industry_05,Other
20 Sep 2011,,"City of Freeport, The Bahamas",Person_538,Company_419,Industry_04,Other
20 Sep 2011,,Russia,Person_539,Company_002,Industry_08,Finance/Accounting
14 Sep 2011,,"Moscow, Moscow City, Russia",Person_540,Company_261,Industry_12,IT/Data/Digital
14 Sep 2011,11 to 50,"Moscow, Moscow City, Russia",Person_541,Company_368,Focus_Industry_1,Management
13 Sep 2011,10001+,"London, England, United Kingdom",Person_542,Company_154,Industry_08,Other
13 Sep 2011,1001 to 5000,United States,Person_543,Company_175,Industry_10,Sales/Business Development
13 Sep 2011,,"Moscow, Moscow City, Russia",Person_544,Company_343,Industry_16,Freelance
13 Sep 2011,51 to 200,"Moscow, Moscow City, Russia",Person_545,Company_090,Industry_12,Management
19 Apr 2011,,New York City Metropolitan Area,Person_497,Company_171,Industry_06,Management
