Connected On,Company Employee Range,Location,Person_ID,Company_Anon,Industry_Anon,Function
21 Oct 2024,5001 to 10000,"Butler, Pennsylvania, United States",Person_061,Company_395,Focus_Industry_1,Management
20 Oct 2024,10001+,"Tarime, Mara Region, Tanzania",Person_062,Company_046,Focus_Industry_2,Management
18 Oct 2024,10001+,Zambia,Person_063,Company_046,Focus_Industry_2,Operations/Production
17 Oct 2024,1001 to 5000,"Quedjinup, Western Australia, Australia",Person_064,Company_066,Focus_Industry_2,Management
17 Oct 2024,5001 to 10000,"Longs, South Carolina, United States",Person_065,Company_107,Focus_Industry_2,Procurement/Supply Chain
13 Oct 2024,2 to 10,Zambia,Person_066,Company_245,Industry_08,Management
11 Oct 2024,10001+,"Richmond, Texas, United States",Person_067,Company_048,Industry_07,Procurement/Supply Chain
10 Oct 2024,11 to 50,Zimbabwe,Person_068,Company_149,Focus_Industry_2,Management
07 Oct 2024,10001+,"Summerville, South Carolina, United States",Person_069,Company_089,Industry_12,Management
04 Oct 2024,10001+,"Southlake, Texas, United States",Person_070,Company_161,Industry_15,Management
04 Oct 2024,10001+,Salt Lake City Metropolitan Area,Person_071,Company_359,Industry_06,Other
29 Sep 2024,,Kenya,Person_072,Company_304,Focus_Industry_2,Management
27 Sep 2024,,"Cambridge, Massachusetts, United States",Person_073,Company_382,Focus_Industry_2,Communications
27 Sep 2024,11 to 50,"Malden, Massachusetts, United States",Person_074,Company_069,Industry_01,Sales/Business Development
20 Sep 2024,10001+,"Fairbury, Illinois, United States",Person_075,Company_073,Focus_Industry_4,Procurement/Supply Chain
19 Sep 2024,1001 to 5000,"Houston, Texas, United States",Person_076,Company_349,Focus_Industry_1,Procurement/Supply Chain
18 Sep 2024,,Guinea,Person_077,Company_351,Focus_Industry_2,Engineering/Technical/Science
17 Sep 2024,10001+,"Tempe, Arizona, United States",Person_078,Company_287,Industry_08,Procurement/Supply Chain
17 Sep 2024,201 to 500,"Mandurah, Western Australia, Australia",Person_079,Company_177,Focus_Industry_2,Management
16 Sep 2024,11 to 50,"Sapulpa, Oklahoma, United States",Person_080,Company_342,Focus_Industry_4,Management
15 Sep 2024,,"Western Area, Sierra Leone",Person_081,Company_211,Focus_Industry_2,Management
03 Sep 2024,,"Kicukiro District, Kigali City, Rwanda",Person_082,Company_123,Industry_12,IT/Data/Digital
31 Aug 2024,201 to 500,"Harare, Harare, Zimbabwe",Person_083,Company_201,Industry_08,Operations/Production
29 Aug 2024,1001 to 5000,"Odessa, Texas, United States",Person_084,Company_199,Focus_Industry_1,Procurement/Supply Chain
29 Aug 2024,,"Mutare, Manicaland Province, Zimbabwe",Person_085,Company_353,Focus_Industry_2,Other
28 Aug 2024,2 to 10,Madagascar,Person_086,Company_083,Industry_01,Management
25 Aug 2024,,Tanzania,Person_087,Company_347,Focus_Industry_4,Management
22 Aug 2024,5001 to 10000,"Spring, Texas, United States",Person_088,Company_320,Focus_Industry_1,Procurement/Supply Chain
19 Aug 2024,1001 to 5000,"Houston, Texas, United States",Person_089,Company_065,Focus_Industry_1,Procurement/Supply Chain
17 Aug 2024,1001 to 5000,Australia,Person_090,Company_259,Focus_Industry_2,Engineering/Technical/Science
15 Aug 2024,2 to 10,Tanzania,Person_091,Company_026,Focus_Industry_2,Engineering/Technical/Science
14 Aug 2024,1001 to 5000,"Tulsa, Oklahoma, United States",Person_092,Company_352,Focus_Industry_1,Management
09 Aug 2024,,Tanzania,Person_093,Company_339,Focus_Industry_2,Management
03 Aug 2024,10001+,Atlanta Metropolitan Area,Person_094,Company_073,Focus_Industry_4,Procurement/Supply Chain
30 Jul 2024,501 to 1000,"Moscow, Moscow City, Russia",Person_095,Company_319,Industry_12,Education/Training/Academia
26 Jul 2024,,"Kitwe, Copperbelt Province, Zambia",Person_096,Company_006,Industry_12,Management
25 Jul 2024,11 to 50,"Ndola, Copperbelt Province, Zambia",Person_097,Company_120,Focus_Industry_2,Other
25 Jul 2024,,"Lusaka, Lusaka Province, Zambia",Person_098,Company_335,Industry_14,Management
24 Jul 2024,,Zimbabwe,Person_099,Company_408,Focus_Industry_2,Engineering/Technical/Science
24 Jul 2024,1001 to 5000,"Pearland, Texas, United States",Person_100,Company_336,Focus_Industry_1,Marketing
24 Jul 2024,,"Lusaka Province, Zambia",Person_101,Company_060,Focus_Industry_2,Management
17 Jul 2024,1001 to 5000,Youngstown-Warren area,Person_102,Company_383,Focus_Industry_1,Procurement/Supply Chain
15 Jul 2024,10001+,"Ankeny, Iowa, United States",Person_103,Company_007,Focus_Industry_4,Management
15 Jul 2024,10001+,"Sewickley, Pennsylvania, United States",Person_104,Company_021,Focus_Industry_2,Procurement/Supply Chain
14 Jul 2024,,Zambia,Person_105,Company_409,Focus_Industry_2,Management
12 Jul 2024,5001 to 10000,"Toronto, Ontario, Canada",Person_106,Company_157,Industry_05,Other
11 Jul 2024,10001+,"City of Johannesburg, Gauteng, South Africa",Person_107,Company_174,Focus_Industry_2,Operations/Production
09 Jul 2024,10001+,Tanzania,Person_108,Company_046,Focus_Industry_2,Management
08 Jul 2024,201 to 500,Zambia,Person_109,Company_196,Focus_Industry_2,Management
06 Jul 2024,5001 to 10000,"City of Johannesburg, Gauteng, South Africa",Person_110,Company_116,Focus_Industry_2,Other
12 Jun 2024,,Mozambique,Person_111,Company_241,Focus_Industry_2,Operations/Production
09 Jun 2024,10001+,"Makindye, Central Region, Uganda",Person_112,Company_046,Focus_Industry_2,Management
06 Jun 2024,,"Accra, Greater Accra Region, Ghana",Person_113,Company_148,Focus_Industry_2,Management
03 Jun 2024,10001+,Zambia,Person_114,Company_067,Industry_14,Management
01 Jun 2024,10001+,"Spring, Texas, United States",Person_115,Company_043,Focus_Industry_1,Procurement/Supply Chain
01 Jun 2024,,"Lumwana, North-Western Province, Zambia",Person_116,Company_046,Focus_Industry_2,Marketing
29 May 2024,1001 to 5000,Ghana,Person_117,Company_259,Focus_Industry_2,Engineering/Technical/Science
29 May 2024,501 to 1000,"Spring, Texas, United States",Person_118,Company_124,Focus_Industry_1,Management
25 May 2024,,Zambia,Person_119,Company_126,Focus_Industry_2,Operations/Production
23 May 2024,,United States,Person_120,,Focus_Industry_4,Unknown
20 May 2024,10001+,Ghana,Person_121,Company_030,Focus_Industry_2,Management
18 May 2024,10001+,United States,Person_122,Company_161,Industry_15,Management
17 May 2024,1001 to 5000,"Bridgeport, West Virginia, United States",Person_123,Company_212,Focus_Industry_1,Procurement/Supply Chain
15 May 2024,,"Kitwe, Copperbelt Province, Zambia",Person_124,Company_210,Focus_Industry_2,Other
15 May 2024,1001 to 5000,"Copperbelt Province, Zambia",Person_125,Company_214,Focus_Industry_2,Operations/Production
14 May 2024,1001 to 5000,"Dar es Salaam, Tanzania",Person_126,Company_389,Focus_Industry_1,Sales/Business Development
09 May 2024,1001 to 5000,"City of Johannesburg, Gauteng, South Africa",Person_127,Company_023,Focus_Industry_2,Management
07 May 2024,10001+,"Kahama Urban, Shinyanga Region, Tanzania",Person_128,Company_046,Focus_Industry_2,Other
06 May 2024,10001+,Greater Houston,Person_129,Company_202,Focus_Industry_1,Procurement/Supply Chain
04 May 2024,501 to 1000,"North-Western Province, Zambia",Person_130,Company_057,Industry_14,Management
01 May 2024,10001+,Greater Phoenix Area,Person_131,Company_161,Industry_15,Other
29 Apr 2024,1001 to 5000,"Cochabamba, Bolivia",Person_132,Company_317,Focus_Industry_2,Management
27 Apr 2024,5001 to 10000,Zambia,Person_133,Company_222,Focus_Industry_2,Engineering/Technical/Science
16 Apr 2024,,Zambia,Person_134,Company_193,Focus_Industry_2,Management
30 Mar 2024,5001 to 10000,Los Angeles Metropolitan Area,Person_135,Company_338,Industry_12,Procurement/Supply Chain
14 Mar 2024,11 to 50,United Arab Emirates,Person_136,Company_156,Industry_04,Management
14 Mar 2024,51 to 200,Bulgaria,Person_137,Company_267,Industry_16,Management
11 Mar 2024,51 to 200,"Caxambu do Sul, Santa Catarina, Brazil",Person_138,Company_014,Industry_08,Marketing
06 Mar 2024,,United States,Person_139,Company_401,Focus_Industry_2,Management
05 Mar 2024,2 to 10,"Morgantown, West Virginia, United States",Person_140,Company_176,Focus_Industry_1,Management
04 Mar 2024,10001+,Chile,Person_141,Company_010,Industry_04,Procurement/Supply Chain
04 Mar 2024,11 to 50,Denver Metropolitan Area,Person_142,Company_350,Focus_Industry_1,Management
04 Mar 2024,51 to 200,"Midland County, Texas, United States",Person_143,Company_298,Focus_Industry_1,Engineering/Technical/Science
04 Mar 2024,11 to 50,United States,Person_144,Company_372,Focus_Industry_4,Management
04 Mar 2024,10001+,"Varedo, Lombardy, Italy",Person_145,Company_058,Industry_05,Sales/Business Development
20 Feb 2024,51 to 200,"London, England, United Kingdom",Person_146,Company_101,Industry_13,IT/Data/Digital
15 Jan 2024,10001+,Basel Metropolitan Area,Person_147,Company_012,Industry_15,Other
13 Jan 2024,,"Oral, West Kazakhstan Region, Kazakhstan",Person_148,Company_191,Focus_Industry_1,Management
13 Oct 2023,10001+,"Moscow, Moscow City, Russia",Person_149,Company_404,Industry_12,Management
12 Oct 2023,10001+,"Allentown, Pennsylvania, United States",Person_150,Company_233,Focus_Industry_3,Management
11 Apr 2023,2 to 10,United Arab Emirates,Person_151,Company_173,Industry_05,Management
29 Mar 2023,201 to 500,"Mexico City, Mexico",Person_152,Company_131,Focus_Industry_1,Management
17 Feb 2023,,"Moscow, Moscow City, Russia",Person_153,Company_204,Industry_16,Management
30 Nov 2022,11 to 50,Greater Málaga Metropolitan Area,Person_154,Company_272,Industry_05,Management
12 Jul 2022,,"Minsk, Belarus",Person_155,Freelance,Industry_16,Freelance
02 Jun 2022,10001+,Greater Chennai Area,Person_156,Company_136,Industry_12,Consultant/Advisor/Coach
30 May 2022,11 to 50,"North Delhi, Delhi, India",Person_157,Company_009,Industry_02,Other
14 Apr 2022,,Bangladesh,Person_158,Company_264,Industry_04,Marketing
13 Apr 2022,,"Delhi, India",Person_159,Company_321,Industry_02,Management
13 Apr 2022,1001 to 5000,"Mumbai, Maharashtra, India",Person_160,Company_345,Industry_12,Consultant/Advisor/Coach
13 Apr 2022,,Greater Tokyo Area,Person_161,Freelance,Industry_16,Freelance
13 Apr 2022,1001 to 5000,"Bengaluru, Karnataka, India",Person_162,Company_345,Industry_12,Engineering/Technical/Science
13 Apr 2022,,"Nasik, Maharashtra, India",Person_163,Company_367,Industry_08,Consultant/Advisor/Coach
12 Apr 2022,,"Overland Park, Kansas, United States",Person_164,Company_311,Industry_16,Communications
12 Apr 2022,,"Edison, New Jersey, United States",Person_165,Company_309,Industry_12,Communications
14 Feb 2022,201 to 500,"Moscow, Moscow City, Russia",Person_166,Company_403,Industry_05,Management
14 Sep 2021,51 to 200,"Dubai, United Arab Emirates",Person_167,Company_229,Industry_01,HR/People/Talent
04 Aug 2021,201 to 500,"Glasgow, Scotland, United Kingdom",Person_168,Company_144,Industry_09,HR/People/Talent
26 Aug 2020,,Russia,Person_169,Company_109,Focus_Industry_2,Management
05 Jun 2020,1001 to 5000,Uzbekistan,Person_170,Company_341,Industry_06,IT/Data/Digital
16 Feb 2020,myself only,"New York, New York, United States",Person_171,Company_187,Industry_13,Legal/Compliance
12 Feb 2020,1001 to 5000,"Hong Kong, Hong Kong SAR",Person_172,Company_093,Industry_13,Legal/Compliance
14 Jan 2020,501 to 1000,"New York, New York, United States",Person_173,Company_282,Industry_04,Management
18 Nov 2019,,"Moscow, Moscow City, Russia",Person_174,Company_435,Industry_07,Other
13 Nov 2019,2 to 10,"Evergreen, Colorado, United States",Person_175,Company_369,Focus_Industry_4,Engineering/Technical/Science
30 Oct 2019,,"Washington, District of Columbia, United States",Person_176,Company_392,Industry_01,Other
24 Oct 2019,1001 to 5000,Greater Boston,Person_177,Company_050,Industry_12,Engineering/Technical/Science
08 Oct 2019,10001+,Greater Boston,Person_178,Company_036,Focus_Industry_3,Management
04 Oct 2019,51 to 200,"Sacramento, California, United States",Person_179,Company_099,Industry_12,Engineering/Technical/Science
30 Sep 2019,,"New York, New York, United States",Person_180,Company_147,Industry_04,Other
24 Sep 2019,1001 to 5000,Israel,Person_181,Company_047,Focus_Industry_3,Management
23 Sep 2019,,Greater Paris Metropolitan Region,Person_182,Company_276,Industry_07,Management
21 Sep 2019,51 to 200,Russia,Person_183,Company_167,Focus_Industry_2,Management
